ID+AF8-NOTICE+AF8-CN,TED+AF8-NOTICE+AF8-URL,YEAR,ID+AF8-TYPE,DT+AF8-DISPATCH,XSD+AF8-VERSION,CANCELLED,CORRECTIONS,FUTURE+AF8-CAN+AF8-ID,FUTURE+AF8-CAN+AF8-ID+AF8-ESTIMATED,B+AF8-MULTIPLE+AF8-CAE,CAE+AF8-NAME,CAE+AF8-NATIONALID,CAE+AF8-ADDRESS,CAE+AF8-TOWN,CAE+AF8-POSTAL+AF8-CODE,ISO+AF8-COUNTRY+AF8-CODE,B+AF8-MULTIPLE+AF8-COUNTRY,ISO+AF8-COUNTRY+AF8-CODE+AF8-ALL,CAE+AF8-TYPE,EU+AF8-INST+AF8-CODE,MAIN+AF8-ACTIVITY,B+AF8-ON+AF8-BEHALF,B+AF8-INVOLVES+AF8-JOINT+AF8-PROCUREMENT,B+AF8-AWARDED+AF8-BY+AF8-CENTRAL+AF8-BODY,TYPE+AF8-OF+AF8-CONTRACT,TAL+AF8-LOCATION+AF8-NUTS,B+AF8-FRA+AF8-AGREEMENT,FRA+AF8-ESTIMATED,B+AF8-FRA+AF8-SINGLE+AF8-OPERATOR,FRA+AF8-NUMBER+AF8-OPERATORS,FRA+AF8-NUMBER+AF8-MAX+AF8-OPERATORS,B+AF8-DYN+AF8-PURCH+AF8-SYST,CPV,ID+AF8-LOT,ADDITIONAL+AF8-CPVS,B+AF8-GPA,LOTS+AF8-NUMBER,LOTS+AF8-SUBMISSION,B+AF8-VARIANTS,VALUE+AF8-EURO,VALUE+AF8-EURO+AF8-FIN+AF8-1,VALUE+AF8-EURO+AF8-FIN+AF8-2,B+AF8-OPTIONS,B+AF8-EU+AF8-FUNDS,B+AF8-RENEWALS,DURATION,CONTRACT+AF8-START,CONTRACT+AF8-COMPLETION,TOP+AF8-TYPE,B+AF8-ACCELERATED,ENV+AF8-OPERATORS,ENV+AF8-MIN+AF8-OPERATORS,ENV+AF8-MAX+AF8-OPERATORS,CRIT+AF8-CODE,CRIT+AF8-PRICE+AF8-WEIGHT,CRIT+AF8-CRITERIA,CRIT+AF8-WEIGHTS,B+AF8-ELECTRONIC+AF8-AUCTION,DT+AF8-APPLICATIONS,B+AF8-LANGUAGE+AF8-ANY+AF8-EC,ADMIN+AF8-LANGUAGES+AF8-TENDER,ADMIN+AF8-OTHER+AF8-LANGUAGES+AF8-TENDER,B+AF8-RECURRENT+AF8-PROCUREMENT
202010,ted.europa.eu/udl?uri+AD0-TED:NOTICE:10+AC0-2020:TEXT:EN:HTML,2020,2,21/12/19,R209.S3,0,0,2022294680,0,N,European Central Bank,,Sonnemannstrasse 22,Frankfurt am Main,60314,DE,N,,5,BC,Economical anf Financial Affairs,N,N,N,S,DE7,Y,,Y,,,N,70000000,1,70000000+AC0ALQAt-70330000,N,3,,N,10150000,10150000,10150000,N,N,Y,48,,,NIC,,,,,,,,,N,28/01/20,,EN,,N
202010,ted.europa.eu/udl?uri+AD0-TED:NOTICE:10+AC0-2020:TEXT:EN:HTML,2020,2,21/12/19,R209.S3,0,0,2022294680,0,N,European Central Bank,,Sonnemannstrasse 22,Frankfurt am Main,60314,DE,N,,5,BC,Economical anf Financial Affairs,N,N,N,S,DE7,Y,,Y,,,N,70000000,2,71240000+AC0ALQAt-70330000,N,3,,N,10150000,10150000,10150000,N,N,Y,48,,,NIC,,,,,,,,,N,28/01/20,,EN,,N
202010,ted.europa.eu/udl?uri+AD0-TED:NOTICE:10+AC0-2020:TEXT:EN:HTML,2020,2,21/12/19,R209.S3,0,0,2022294680,0,N,European Central Bank,,Sonnemannstrasse 22,Frankfurt am Main,60314,DE,N,,5,BC,Economical anf Financial Affairs,N,N,N,S,DE7,Y,,Y,,,N,70000000,3,71240000+AC0ALQAt-98392000+AC0ALQAt-79613000,N,3,,N,10150000,10150000,10150000,N,N,Y,48,,,NIC,,,,,,,,,N,28/01/20,,EN,,N
202022,ted.europa.eu/udl?uri+AD0-TED:NOTICE:22+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,1,2020473894,0,N,Junta de Gobierno del Ayuntamiento de C+//3//Q-rdoba,P1402100J,C/ Capitulares+ADs- 1,C+//3//Q-rdoba,14071,ES,N,,3,,General public+AFw-services,N,N,N,W,ES613,N,,,,,N,45212312,,,N,1,,N,14537135.39,14537135.39,14537135.39,N,N,Y,10,,,OPE,,,,,M,70,Memoria justificativa: estudio y comprobaci+//3//Q-n del proyecto de ejecuci+//3//Q-n+AC0ALQAt-Memoria justificativa: medios materiales y humanos adscritos a la ejecuci+//3//Q-n de la obra+AC0ALQAt-Programa de obra,15+AC0ALQAt-10+AC0ALQAt-5,N,14/01/20,,ES,,N
202023,ted.europa.eu/udl?uri+AD0-TED:NOTICE:23+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,1,2020523366,0,N,Direcci+//3//Q-n General de Carreteras,S2817015G,Paseo de la Castellana 67+ADs- despacho B750,Madrid,28071,ES,N,,1,,General public+AFw-services,N,N,N,W,ES111,N,,,,,N,45233000,,,N,1,,N,10386026.34,10386026.34,10386026.34,N,N,N,34,,,OPE,,,,,M,,Incremento de gastos de ensayos+AC0ALQAt-Juicio de valor+AC0ALQAt-Precio,5.1+AC0ALQAt-49+AC0ALQAt-45.9,N,21/02/20,,ES,,N
202024,ted.europa.eu/udl?uri+AD0-TED:NOTICE:24+AC0-2020:TEXT:EN:HTML,2020,2,29/12/19,R209.S3,0,1,2020242017,0,N,Hrvatske ceste d.o.o. Zagreb,55545787885,Von+//3//Q-inina 3,Zagreb,10000,HR,N,,6,,Other,N,N,N,W,HR04B,N,,,,,N,45233141,,45233141,N,1,,N,11938872.97,11938872.97,11938872.97,N,N,N,24,,,OPE,,,,,M,,Cijena+AC0ALQAt-Iskustvo in+//3//Q-enjera gradili+//3//Q-ta+AC0ALQAt-Jamstveni rok,70 +ACUALQAtAC0-15 +ACUALQAtAC0-15 +ACU-,N,30/01/20,,HR,,N
202024,ted.europa.eu/udl?uri+AD0-TED:NOTICE:24+AC0-2020:TEXT:EN:HTML,2020,2,29/12/19,R209.S3,0,1,2020181327,0,N,Hrvatske ceste d.o.o. Zagreb,55545787885,Von+//3//Q-inina 3,Zagreb,10000,HR,N,,6,,Other,N,N,N,W,HR04B,N,,,,,N,45233141,,45233141,N,1,,N,11938872.97,11938872.97,11938872.97,N,N,N,24,,,OPE,,,,,M,,Cijena+AC0ALQAt-Iskustvo in+//3//Q-enjera gradili+//3//Q-ta+AC0ALQAt-Jamstveni rok,70 +ACUALQAtAC0-15 +ACUALQAtAC0-15 +ACU-,N,30/01/20,,HR,,N
202025,ted.europa.eu/udl?uri+AD0-TED:NOTICE:25+AC0-2020:TEXT:EN:HTML,2020,2,29/12/19,R209.S3,0,2,2020294183,0,N,S+//3//Q-d Apelacyjny w Bia+//3//Q-ymstoku,,ul. Mickiewicza 5,Bia+//3//Q-ystok,15+AC0-213,PL,N,,8,,Other,N,N,N,W,PL842,N,,,,,N,45216112,,45262500+AC0ALQAt-45410000+AC0ALQAt-45261210+AC0ALQAt-45420000+AC0ALQAt-45300000+AC0ALQAt-45430000+AC0ALQAt-45440000+AC0ALQAt-45400000+AC0ALQAt-45233200+AC0ALQAt-39100000,N,1,,N,,,,N,N,N,36,,,OPE,,,,,M,60,Do+//3//Q-wiadczenie zawodowe kierownika budowy+AC0ALQAt-Okres gwarancji i r+//3//Q-kojmi+AC0ALQAt-Wysoko+//3//f/9//0- kary umownej,9+AC0ALQAt-26+AC0ALQAt-5,N,04/02/20,,PL,,N
202026,ted.europa.eu/udl?uri+AD0-TED:NOTICE:26+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,3,,0,N,Elektrotechnick+//3//Q- zku+//3//Q-ebn+//3//Q- +//3//Q-stav+ADs- s.p.,1481,Pod Lisem 129+ADs- Troja,Praha 8,182 00,CZ,N,,8,,General public+AFw-services,N,N,N,W,CZ01,N,,,,,N,45000000,,45000000,Y,1,,N,1179789.98,1179789.98,1179789.98,N,Y,N,6,,,OPE,,,,,L,,,,N,04/02/20,,CS,,N
202027,ted.europa.eu/udl?uri+AD0-TED:NOTICE:27+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020216130,0,N,Landesbetrieb f+//3//Q-r Hochwasserschutz und Wasserwirtschaft Sachsen+AC0-Anhalt,,Otto+AC0-von+AC0-Guericke+AC0-Stra+//3//Q-e 5,Magdeburg,39104,DE,N,,8,,Other,Y,N,Y,W,DEE03,N,,,,,N,45000000,,45247230,N,1,,N,,,,N,N,N,15.07,14/04/20,16/07/21,OPE,,,,,L,,,,N,10/02/20,,DE,,N
202028,ted.europa.eu/udl?uri+AD0-TED:NOTICE:28+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020565960,0,N,R+//3//Q-gion Auvergne+AC0-Rh+//3//Q-ne+AC0-Alpes,,Immeuble Le Crystallin+ADs- 191/193 cours Lafayette,Lyon,69006,FR,N,,3,,General public+AFw-services,N,N,N,W,FRK24,N,,,,,N,45000000,1,45210000,Y,8,,Y,2220000,2220000,2220000,N,N,N,12,,,OPE,,,,,,,,,N,21/02/20,,FR,,N
202028,ted.europa.eu/udl?uri+AD0-TED:NOTICE:28+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020565960,0,N,R+//3//Q-gion Auvergne+AC0-Rh+//3//Q-ne+AC0-Alpes,,Immeuble Le Crystallin+ADs- 191/193 cours Lafayette,Lyon,69006,FR,N,,3,,General public+AFw-services,N,N,N,W,FRK24,N,,,,,N,45000000,2,45400000,Y,8,,Y,2220000,2220000,2220000,N,N,N,12,,,OPE,,,,,,,,,N,21/02/20,,FR,,N
202028,ted.europa.eu/udl?uri+AD0-TED:NOTICE:28+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020565960,0,N,R+//3//Q-gion Auvergne+AC0-Rh+//3//Q-ne+AC0-Alpes,,Immeuble Le Crystallin+ADs- 191/193 cours Lafayette,Lyon,69006,FR,N,,3,,General public+AFw-services,N,N,N,W,FRK24,N,,,,,N,45000000,3,45400000,Y,8,,Y,2220000,2220000,2220000,N,N,N,12,,,OPE,,,,,,,,,N,21/02/20,,FR,,N
202028,ted.europa.eu/udl?uri+AD0-TED:NOTICE:28+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020565960,0,N,R+//3//Q-gion Auvergne+AC0-Rh+//3//Q-ne+AC0-Alpes,,Immeuble Le Crystallin+ADs- 191/193 cours Lafayette,Lyon,69006,FR,N,,3,,General public+AFw-services,N,N,N,W,FRK24,N,,,,,N,45000000,4,45400000,Y,8,,Y,2220000,2220000,2220000,N,N,N,12,,,OPE,,,,,,,,,N,21/02/20,,FR,,N
