ID+AF8-NOTICE+AF8-CN,TED+AF8-NOTICE+AF8-URL,YEAR,ID+AF8-TYPE,DT+AF8-DISPATCH,XSD+AF8-VERSION,CANCELLED,CORRECTIONS,FUTURE+AF8-CAN+AF8-ID,FUTURE+AF8-CAN+AF8-ID+AF8-ESTIMATED,B+AF8-MULTIPLE+AF8-CAE,CAE+AF8-NAME,CAE+AF8-NATIONALID,CAE+AF8-ADDRESS,CAE+AF8-TOWN,CAE+AF8-POSTAL+AF8-CODE,ISO+AF8-COUNTRY+AF8-CODE,B+AF8-MULTIPLE+AF8-COUNTRY,ISO+AF8-COUNTRY+AF8-CODE+AF8-ALL,CAE+AF8-TYPE,EU+AF8-INST+AF8-CODE,MAIN+AF8-ACTIVITY,B+AF8-ON+AF8-BEHALF,B+AF8-INVOLVES+AF8-JOINT+AF8-PROCUREMENT,B+AF8-AWARDED+AF8-BY+AF8-CENTRAL+AF8-BODY,TYPE+AF8-OF+AF8-CONTRACT,TAL+AF8-LOCATION+AF8-NUTS,B+AF8-FRA+AF8-AGREEMENT,FRA+AF8-ESTIMATED,B+AF8-FRA+AF8-SINGLE+AF8-OPERATOR,FRA+AF8-NUMBER+AF8-OPERATORS,FRA+AF8-NUMBER+AF8-MAX+AF8-OPERATORS,B+AF8-DYN+AF8-PURCH+AF8-SYST,CPV,ID+AF8-LOT,ADDITIONAL+AF8-CPVS,B+AF8-GPA,LOTS+AF8-NUMBER,LOTS+AF8-SUBMISSION,B+AF8-VARIANTS,VALUE+AF8-EURO,VALUE+AF8-EURO+AF8-FIN+AF8-1,VALUE+AF8-EURO+AF8-FIN+AF8-2,B+AF8-OPTIONS,B+AF8-EU+AF8-FUNDS,B+AF8-RENEWALS,DURATION,CONTRACT+AF8-START,CONTRACT+AF8-COMPLETION,TOP+AF8-TYPE,B+AF8-ACCELERATED,ENV+AF8-OPERATORS,ENV+AF8-MIN+AF8-OPERATORS,ENV+AF8-MAX+AF8-OPERATORS,CRIT+AF8-CODE,CRIT+AF8-PRICE+AF8-WEIGHT,CRIT+AF8-CRITERIA,CRIT+AF8-WEIGHTS,B+AF8-ELECTRONIC+AF8-AUCTION,DT+AF8-APPLICATIONS,B+AF8-LANGUAGE+AF8-ANY+AF8-EC,ADMIN+AF8-LANGUAGES+AF8-TENDER,ADMIN+AF8-OTHER+AF8-LANGUAGES+AF8-TENDER,B+AF8-RECURRENT+AF8-PROCUREMENT,is_outlier
202010,ted.europa.eu/udl?uri+AD0-TED:NOTICE:10+AC0-2020:TEXT:EN:HTML,2020,2,21/12/19,R209.S3,0,0,2022294680.0,0,N,European Central Bank,,Sonnemannstrasse 22,Frankfurt am Main,60314,DE,N,,5,BC,Economical anf Financial Affairs,N,N,N,S,DE7,Y,,Y,,,N,70000000,1.0,70000000+AC0ALQAt-70330000,N,3,,N,10150000.0,10150000.0,10150000.0,N,N,Y,48.0,,,NIC,,,,,,,,,N,28/01/20,,EN,,N,True
202010,ted.europa.eu/udl?uri+AD0-TED:NOTICE:10+AC0-2020:TEXT:EN:HTML,2020,2,21/12/19,R209.S3,0,0,2022294680.0,0,N,European Central Bank,,Sonnemannstrasse 22,Frankfurt am Main,60314,DE,N,,5,BC,Economical anf Financial Affairs,N,N,N,S,DE7,Y,,Y,,,N,70000000,2.0,71240000+AC0ALQAt-70330000,N,3,,N,10150000.0,10150000.0,10150000.0,N,N,Y,48.0,,,NIC,,,,,,,,,N,28/01/20,,EN,,N,True
202010,ted.europa.eu/udl?uri+AD0-TED:NOTICE:10+AC0-2020:TEXT:EN:HTML,2020,2,21/12/19,R209.S3,0,0,2022294680.0,0,N,European Central Bank,,Sonnemannstrasse 22,Frankfurt am Main,60314,DE,N,,5,BC,Economical anf Financial Affairs,N,N,N,S,DE7,Y,,Y,,,N,70000000,3.0,71240000+AC0ALQAt-98392000+AC0ALQAt-79613000,N,3,,N,10150000.0,10150000.0,10150000.0,N,N,Y,48.0,,,NIC,,,,,,,,,N,28/01/20,,EN,,N,True
202024,ted.europa.eu/udl?uri+AD0-TED:NOTICE:24+AC0-2020:TEXT:EN:HTML,2020,2,29/12/19,R209.S3,0,1,2020242017.0,0,N,Hrvatske ceste d.o.o. Zagreb,55545787885,Von+//3//Q-inina 3,Zagreb,10000,HR,N,,6,,Other,N,N,N,W,HR04B,N,,,,,N,45233141,,45233141,N,1,,N,11938872.97,11938872.97,11938872.97,N,N,N,24.0,,,OPE,,,,,M,,Cijena+AC0ALQAt-Iskustvo in+//3//Q-enjera gradili+//3//Q-ta+AC0ALQAt-Jamstveni rok,70 +ACUALQAtAC0-15 +ACUALQAtAC0-15 +ACU-,N,30/01/20,,HR,,N,True
202024,ted.europa.eu/udl?uri+AD0-TED:NOTICE:24+AC0-2020:TEXT:EN:HTML,2020,2,29/12/19,R209.S3,0,1,2020181327.0,0,N,Hrvatske ceste d.o.o. Zagreb,55545787885,Von+//3//Q-inina 3,Zagreb,10000,HR,N,,6,,Other,N,N,N,W,HR04B,N,,,,,N,45233141,,45233141,N,1,,N,11938872.97,11938872.97,11938872.97,N,N,N,24.0,,,OPE,,,,,M,,Cijena+AC0ALQAt-Iskustvo in+//3//Q-enjera gradili+//3//Q-ta+AC0ALQAt-Jamstveni rok,70 +ACUALQAtAC0-15 +ACUALQAtAC0-15 +ACU-,N,30/01/20,,HR,,N,True
202027,ted.europa.eu/udl?uri+AD0-TED:NOTICE:27+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020216130.0,0,N,Landesbetrieb f+//3//Q-r Hochwasserschutz und Wasserwirtschaft Sachsen+AC0-Anhalt,,Otto+AC0-von+AC0-Guericke+AC0-Stra+//3//Q-e 5,Magdeburg,39104,DE,N,,8,,Other,Y,N,Y,W,DEE03,N,,,,,N,45000000,,45247230,N,1,,N,,,,N,N,N,15.07,14/04/20,16/07/21,OPE,,,,,L,,,,N,10/02/20,,DE,,N,True
202032,ted.europa.eu/udl?uri+AD0-TED:NOTICE:32+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,1,2020473990.0,0,N,Direcci+//3//Q-n General de Carreteras,S2817015G,Paseo de la Castellana+ADs- 67+ADs- despacho B750,Madrid,28071,ES,N,,1,,General public+AFw-services,N,N,N,W,ES111,N,,,,,N,45233000,,,N,1,,N,20766759.5,20766759.5,20766759.5,N,N,N,33.0,,,OPE,,,,,M,51,Juicio de valor,49,N,17/02/20,,ES,,N,True
202033,ted.europa.eu/udl?uri+AD0-TED:NOTICE:33+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020443430.0,0,N,Consejer+//3//Q-a de Obras P+//3//Q-blicas+ADs- Transportes y Vivienda del Gobierno de Canarias,S3511001D,C/ Profesor Agust+//3//Q-n Millares Carl+//3//QA7- 22,Las Palmas de Gran Canaria,35071,ES,N,,3,,General public+AFw-services,N,N,N,W,ES704,N,,,,,N,45233120,,,N,1,,N,115642915.91,115642915.91,115642915.91,N,N,N,54.0,,,OPE,,,,,M,50,A) Criterios no econ+//3//Q-micos,50,N,03/02/20,,ES,,N,True
202037,ted.europa.eu/udl?uri+AD0-TED:NOTICE:37+AC0-2020:TEXT:EN:HTML,2020,2,31/12/19,R209.S3,0,0,,0,N,Ville de Saint+AC0-Andr+//3//Q- (974),,place du 2 D+//3//Q-cembre +//3//f/9- BP 505,Saint+AC0-Andr+//3//Q-,97440,FR,N,,3,,General public+AFw-services,N,N,N,W,FRY40,N,,,,,N,45112500,1.0,45112500+AC0ALQAt-45233250,Y,3,,N,,,,N,N,N,16.0,,,OPE,,,,,M,40,Valeur technique,60,N,17/02/20,,FR,,N,True
202037,ted.europa.eu/udl?uri+AD0-TED:NOTICE:37+AC0-2020:TEXT:EN:HTML,2020,2,31/12/19,R209.S3,0,0,,0,N,Ville de Saint+AC0-Andr+//3//Q- (974),,place du 2 D+//3//Q-cembre +//3//f/9- BP 505,Saint+AC0-Andr+//3//Q-,97440,FR,N,,3,,General public+AFw-services,N,N,N,W,FRY4,N,,,,,N,45112500,2.0,45316110,Y,3,,N,,,,N,N,N,11.0,,,OPE,,,,,M,40,Valeur technique,60,N,17/02/20,,FR,,N,True
